int,int,int,int,string
1,1,1,2,÷«¡¶≤–º≤
1,0,0,0,Ω°øµ
1,0,0,0,Ω°øµ
1,1,0,0,Ω°øµ
1,0,0,0,Ω°øµ
1,0,1,0,Ω°øµ
1,1,0,0,Ω°øµ
1,0,0,0,Ω°øµ
1,1,0,0, ”¡¶≤–º≤
1,0,0,0,Ω°øµ
1,1,1,0,Ã˝¡¶≤–º≤
1,0,0,0,Ω°øµ
1,0,1,0,Ω°øµ
1,0,1,0,÷«¡¶≤–º≤
1,0,0,0,Ω°øµ
1,1,0,0,Ω°øµ
1,1,0,0,Ω°øµ
1,1,1,0,Ω°øµ
1,1,0,0,Ω°øµ
1,0,0,0,Ω°øµ
1,1,0,0, ”¡¶≤–º≤
1,0,0,0,Ω°øµ
1,1,1,0,Ã˝¡¶≤–º≤
1,0,0,0,Ω°øµ
1,0,1,0,Ω°øµ
1,1,1,0,÷«¡¶≤–º≤
1,0,0,0,Ω°øµ
1,1,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,1,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,0,1,Ω°øµ
1,1,0,1, ”¡¶≤–º≤
1,0,1,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,0,1,Ω°øµ
1,0,1,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,0,1,Ω°øµ
1,0,0,1, ”¡¶≤–º≤
1,0,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,1,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,0,1,Ω°øµ
1,1,1,1, ”¡¶≤–º≤
1,0,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,0,1,Ã˝¡¶≤–º≤
1,0,1,1,Ω°øµ
1,1,1,1,Ω°øµ
1,0,0,1,Ω°øµ
1,1,0,1, ”¡¶≤–º≤
1,0,0,1,Ω°øµ
1,1,1,1,Ã˝¡¶≤–º≤
1,0,0,1,Ω°øµ
1,0,1,1,Ω°øµ
1,0,0,1,÷«¡¶≤–º≤
1,0,0,1,÷«¡¶≤–º≤
1,1,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,1,1,1,Ã˝¡¶≤–º≤
1,1,0,1,Ω°øµ
1,0,0,1,Ω°øµ
1,1,0,1, ”¡¶≤–º≤
1,0,0,1,Ω°øµ
1,1,1,1,Ã˝¡¶≤–º≤
1,0,0,1,Ω°øµ
1,0,1,1,Ω°øµ
1,1,1,1,÷«¡¶≤–º≤
1,0,0,1,Ω°øµ
1,0,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,1,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,0,1,Ω°øµ
1,1,0,1, ”¡¶≤–º≤
1,0,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,1,1, ”¡¶≤–º≤
1,1,0,1, ”¡¶≤–º≤
1,0,1,1, ”¡¶≤–º≤
1,0,0,1, ”¡¶≤–º≤
1,0,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,1,1,Ω°øµ
1,1,0,1,Ω°øµ
1,0,0,1,Ω°øµ
1,1,1,1, ”¡¶≤–º≤
1,0,0,2,Ω°øµ
1,1,0,2,Ω°øµ
1,0,0,2,Ω°øµ
1,0,1,2,Ω°øµ
1,1,0,2,Ω°øµ
1,0,0,2,Ω°øµ
1,1,0,2, ”¡¶≤–º≤
1,0,0,2,Ω°øµ
1,1,1,2,Ã˝¡¶≤–º≤
1,0,0,2,Ω°øµ
1,0,0,2,Ω°øµ
1,0,0,2,÷«¡¶≤–º≤
1,0,0,2,Ω°øµ
1,1,0,2, ”¡¶≤–º≤
1,1,0,2,Ω°øµ
1,1,1,2, ”¡¶≤–º≤
1,1,0,2,Ω°øµ
1,0,0,2, ”¡¶≤–º≤
1,1,1,2, ”¡¶≤–º≤
1,0,0,2,Ω°øµ
1,1,1,2,Ã˝¡¶≤–º≤
1,1,1,2,Ω°øµ
1,0,1,2,Ω°øµ
1,1,1,1,Ω°øµ
1,0,0,2,Ω°øµ
1,0,0,2,Ω°øµ
1,1,0,2,Ω°øµ
1,0,0,2,Ω°øµ
1,0,1,2,Ω°øµ
1,1,0,2,Ω°øµ
1,0,0,2,Ω°øµ
1,1,0,2, ”¡¶≤–º≤
1,0,0,2,Ω°øµ
1,1,1,2,Ã˝¡¶≤–º≤
1,0,0,2,Ω°øµ
1,0,0,2,Ω°øµ
1,0,0,2,÷«¡¶≤–º≤
1,0,0,2,Ω°øµ
1,1,0,2, ”¡¶≤–º≤
1,1,0,2,Ω°øµ
1,1,1,2,Ω°øµ
1,1,0,2,Ω°øµ
1,0,0,2, ”¡¶≤–º≤
1,1,0,2, ”¡¶≤–º≤
1,0,0,2,Ω°øµ
1,1,1,2,Ã˝¡¶≤–º≤
1,0,0,2,Ω°øµ
1,0,1,2,Ω°øµ
1,1,1,2,÷«¡¶≤–º≤
1,0,0,2,Ω°øµ
